SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
+,SAGS,*,Sage Sparrow,Artemisiospiza nevadensis/belli,ARTNEB,,TRUE
,BESP,,Bell's Sparrow,Artemisiospiza belli,ARTBEL,,TRUE
,SSPA,*,Striped Sparrow,Oriturus superciliosus,ORISUP,,TRUE
,VESP,,Vesper Sparrow,Pooecetes gramineus,POOGRA,,TRUE
,LCSP,,LeConte's Sparrow,Ammospiza leconteii,AMMLEC,,TRUE
,SESP,,Seaside Sparrow,Ammospiza maritima,AMMMAR,,TRUE
+,DUSS,,Dusky Seaside-Sparrow,Ammospiza maritima nigrescens,AMMMNI,,TRUE
+,CSSS,,Cape Sable Seaside-Sparrow,Ammospiza maritima mirabilis,AMMMMI,,TRUE
,NESP,,Nelson's Sparrow,Ammospiza nelsoni,AMMNEL,,TRUE
,SALS,*,Saltmarsh Sparrow,Ammospiza caudacuta,AMMCAU,,TRUE
+,STSP,,Sharp-tailed Sparrow,Ammospiza nelsoni/caudacuta,AMMNEC,,TRUE
,BAIS,*,Baird's Sparrow,Centronyx bairdii,CENBAI,,TRUE
,HESP,,Henslow's Sparrow,Centronyx henslowii,CENHEN,,TRUE
,SAVS,*,Savannah Sparrow,Passerculus sandwichensis,PASSAN,,TRUE
+,IPSP,,Ipswich Sparrow,Passerculus sandwichensis princeps,PASSPR,,TRUE
+,BSSP,,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi,PASSBE,,TRUE
+,LBSP,,Large-billed Sparrow,Passerculus sandwichensis rostratus,PASSRO,,TRUE
,SMSP,,Sierra Madre Sparrow,Xenospiza baileyi,XENBAI,,TRUE
,SOSP,,Song Sparrow,Melospiza melodia,MELMEL,,TRUE
,LISP,,Lincoln's Sparrow,Melospiza lincolnii,MELLIN,,TRUE
,SWSP,,Swamp Sparrow,Melospiza georgiana,MELGEO,,TRUE
,LFFI,,Large-footed Finch,Pezopetes capitalis,PEZCAP,,TRUE
,ZASP,,Zapata Sparrow,Torreornis inexpectata,TORINE,,TRUE
,RCGS,,Rusty-crowned Ground-Sparrow,Melozone kieneri,MELKIE,,TRUE
,CANT,*,Canyon Towhee,Melozone fusca,MEZFUS,*,TRUE
,WTTO,,White-throated Towhee,Melozone albicollis,MELALB,,TRUE
,ABTO,,Abert's Towhee,Melozone aberti,MELABE,,TRUE
,CALT,*,California Towhee,Melozone crissalis,MELCRI,,TRUE
,WEGS,,White-eared Ground-Sparrow,Melozone leucotis,MELLEU,,TRUE
,WFGS,,White-faced Ground-Sparrow,Melozone biarcuata,MELBIA,,TRUE
,CAGS,,Cabanis's Ground-Sparrow,Melozone cabanisi,MELCAB,,TRUE
,RUSP,,Rusty Sparrow,Aimophila rufescens,AIMRUS,*,TRUE
,RCSP,,Rufous-crowned Sparrow,Aimophila ruficeps,AIMRUP,*,TRUE
,OASP,,Oaxaca Sparrow,Aimophila notosticta,AIMNOT,,TRUE
,GTTO,,Green-tailed Towhee,Pipilo chlorurus,PIPCHL,,TRUE
,SPTO,,Spotted Towhee,Pipilo maculatus,PIPMAC,,TRUE
+,RSTO,,Rufous-sided Towhee,Pipilo maculatus/erythrophthalmus,PIPMAE,,TRUE
,EATO,,Eastern Towhee,Pipilo erythrophthalmus,PIPERY,,TRUE
,COTO,,Collared Towhee,Pipilo ocai,PIPOCA,,TRUE
,RCBR,,Rufous-capped Brushfinch,Atlapetes pileatus,ATLPIL,,TRUE
,WNBR,,White-naped Brushfinch,Atlapetes albinucha,ATLALB,,TRUE
,YTBR,,Yellow-thighed Brushfinch,Atlapetes tibialis,ALTTIB,,TRUE
,YGBR,,Yellow-green Brushfinch,Atlapetes luteoviridis,ALTLUT,,TRUE
+,UNSP,,Unidentified Sparrow,"Passerellidae (gen, sp)",PASGSP,,TRUE
